Player,Unnamed: 1,Position
Vinicius Souza,,Defensive Midfield
Djibril Sow,,Central Midfield
Çağlar Söyüncü,,Centre-Back
Kevin Spadanuda,,Left Winger
Djed Spence,,Right-Back
Stijn Spierings,,Defensive Midfield
Leonardo Spinazzola,,Left-Back
Marco Sportiello,,Goalkeeper
Jack Stacey,,Right-Back
Anton Stach,,Defensive Midfield
Kostas Stafylidis,,Left-Back
Jens Stage,,Central Midfield
Veit Stange,,Defensive Midfield
Josip Stanišić,,Right-Back
Junior Stanislas,,Left Winger
Jay Stansfield,,Centre-Forward
Niklas Stark,,Centre-Back
Jason Steele,,Goalkeeper
Calvin Stengs,,Right Winger
Pascal Stenzel,,Right-Back
Jack Stephens,,Centre-Back
Raheem Sterling,,Left Winger
Angelo Stiller,,Defensive Midfield
Lars Stindl,,Attacking Midfield
Kevin Stöger,,Attacking Midfield
Petar Stojanović,,Right-Back
John Stones,,Centre-Back
Jørgen Strand Larsen,,Centre-Forward
Tony Strata,,"['Series([], Name: TmPos, dtype: object)']"
Gabriel Strefezza,,Right Winger
Dávid Strelec,,Centre-Forward
Pascal Struijk,,Centre-Back
Cristhian Stuani,,Centre-Forward
Damián Suárez,,Right-Back
Denis Suárez,,Attacking Midfield
Mario Suárez,,Centre-Back
Gabriel Suazo,,Left-Back
Isaac Success,,Centre-Forward
Niklas Süle,,Centre-Back
Ibrahim Sulemana,,Defensive Midfield
Kamaldeen Sulemana,,Left Winger
Crysencio Summerville,,Right Winger
Ivan Šunjić,,Defensive Midfield
Sam Surridge,,Centre-Forward
Suso,,Right Winger
Yuito Suzuki,,Attacking Midfield
Mattias Svanberg,,Central Midfield
Mile Svilar,,Goalkeeper
Williot Swedberg,,Attacking Midfield
Issiaga Sylla,,Left-Back
Wojciech Szczęsny,,Goalkeeper
Dominik Szoboszlai,,Left Winger
Alexander Sørloth,,Centre-Forward
Nicolás Tagliafico,,Left-Back
Jonathan Tah,,Centre-Back
Benjamin Tahirovic,,Central Midfield
Waniss Taibi,,Attacking Midfield
Flavien Tait,,Central Midfield
Montassar Talbi,,Centre-Back
Thibault Tamas,,"['Series([], Name: TmPos, dtype: object)']"
Adrien Tameze,,Defensive Midfield
Japhet Tanganga,,Centre-Back
Renato Tapia,,Defensive Midfield
Edmond Tapsoba,,Centre-Back
Florian Tardieu,,Central Midfield
Matt Targett,,Left-Back
James Tarkowski,,Centre-Back
Ciprian Tătărușanu,,Goalkeeper
Niklas Tauer,,Defensive Midfield
Nuno Tavares,,Left-Back
Marcus Tavernier,,Left Winger
Enzo Tchato,,Centre-Back
Aurélien Tchouaméni,,Defensive Midfield
Mathys Tel,,Centre-Forward
Semir Telalovic,,Centre-Forward
Alex Telles,,Left-Back
Marc-André ter Stegen,,Goalkeeper
Simon Terodde,,Centre-Forward
Filippo Terracciano,,Central Midfield
Pietro Terracciano,,Goalkeeper
Ramón Terrats,,Defensive Midfield
Martin Terrier,,Left Winger
Aleksa Terzić,,Left-Back
Tetê,,Right Winger
Kenny Tete,,Right-Back
Florian Thauvin,,Right Winger
Arthur Theate,,Centre-Back
Malick Thiaw,,Centre-Back
Jan Thielmann,,Right Winger
Sada Thioub,,Right Winger
Luke Thomas,,   Left-Back
Adrien Thomasson,,Attacking Midfield
Morten Thorsby,,Central Midfield
Kristian Thorstvedt,,Attacking Midfield
Khéphren Thuram,,Central Midfield
Marcus Thuram,,Centre-Forward
Alexis Tibidi,,Centre-Forward
Youri Tielemans,,Central Midfield
Kieran Tierney,,Left-Back
Steffen Tigges,,Centre-Forward
Jean-Clair Todibo,,Centre-Back
Harry Toffolo,,Left-Back
Umut Tohumcu,,Central Midfield
Karl Toko Ekambi,,Left Winger
Corentin Tolisso,,Central Midfield
Jeremy Toljan,,Right-Back
Rafael Tolói,,Centre-Back
Raúl de Tomás,,Centre-Forward
Tiago Tomás,,Centre-Forward
Takehiro Tomiyasu,,Right-Back
James Tomkins,,Centre-Back
Fikayo Tomori,,Centre-Back
Sandro Tonali,,Defensive Midfield
Lorenzo Tonelli,,Centre-Back
Ivan Toney,,Centre-Forward
Pablo Torre,,Central Midfield
David Torres,,Centre-Back
Ferrán Torres,,Left Winger
Óliver Torres,,Central Midfield
Pau Torres,,Centre-Back
Roberto Torres,,Attacking Midfield
Lucas Torró,,Defensive Midfield
Nabil Touaizi,,Centre-Forward
Almamy Touré,,Centre-Back
Birama Touré,,Defensive Midfield
Mohamed Toure,,Centre-Forward
Souleymane Touré,,Centre-Back
Lucas Tousart,,Defensive Midfield
Yoann Touzghar,,Centre-Forward
Adama Traoré,,Right Winger
Bertrand Traoré,,Right Winger
Boubacar Traoré,,Central Midfield
Charles Traore,,Left-Back
Hamari Traoré,,Right-Back
Kevin Trapp,,Goalkeeper
Mark Travers,,Goalkeeper
Óscar Trejo,,Attacking Midfield
Manu Trigueros,,Central Midfield
Christopher Trimmel,,Right-Back
Théo Trinker,,"['Series([], Name: TmPos, dtype: object)']"
Kieran Trippier,,Right-Back
William Troost-Ekong,,Centre-Back
Leandro Trossard,,Left Winger
Adrien Truffert,,Left-Back
Frank Tsadjout,,Centre-Forward
Kostas Tsimikas,,Left-Back
Theocharis Tsingaras,,Central Midfield
Viktor Tsyhankov,,Right Winger
Alessandro Tuia,,Centre-Back
Martin Turk,,Goalkeeper
Beñat Turrientes,,Central Midfield
Tuta,,Centre-Back
Destiny Udogie,,Left-Back
Ike Ugbo,,Centre-Forward
Lesley Ugochukwu,,Defensive Midfield
Samir Ujkani,,Goalkeeper
Sven Ulreich,,Goalkeeper
Lauren Ulrich,,"['Series([], Name: TmPos, dtype: object)']"
Samuel Umtiti,,Centre-Back
Enes Ünal,,Centre-Forward
Deniz Undav,,Centre-Forward
Cengiz Ünder,,Right Winger
Dayot Upamecano,,Centre-Back
Filip Uremović,,Centre-Back
Oscar Ureña,,Right Winger
Jere Uronen,,Left-Back
Mark Uth,,Second Striker
Josha Vagnoman,,Right-Back
Diego Valencia,,Centre-Forward
Óscar Valentín,,Central Midfield
Emanuele Valeri,,Left-Back
Yan Valery,,Right-Back
Martin Valjent,,Centre-Back
Jesús Vallejo,,Centre-Back
Manu Vallejo,,Second Striker
Mattia Valoti,,Central Midfield
Federico Valverde,,Central Midfield
Virgil van Dijk,,Centre-Back
Vanderson,,Right-Back
Raphaël Varane,,Centre-Back
Jamie Vardy,,Centre-Forward
Ruben Vargas,,Left Winger
Johan Vásquez,,Centre-Back
Jesus Vazquez,,Left-Back
Kevin Vázquez,,Right-Back
Lucas Vázquez,,Right Winger
Matías Vecino,,Central Midfield
Gabriel Veiga,,Central Midfield
Renato Veiga,,Defensive Midfield
Miloš Veljković,,Centre-Back
Miguel Veloso,,Defensive Midfield
Joël Veltman,,Right-Back
Micky van de Ven,,Centre-Back
Unai Vencedor Paris,,Central Midfield
Lorenzo Venuti,,Right-Back
Daniele Verde,,Right Winger
Simone Verdi,,Attacking Midfield
Gonzalo Verdú,,Centre-Back
Jordan Veretout,,Central Midfield
Marco Verratti,,Central Midfield
Valerio Verre,,Attacking Midfield
Mikel Vesga,,Defensive Midfield
Guglielmo Vicario,,Goalkeeper
João Victor,,Centre-Back
Aleix Vidal,,Right-Back
Clément Vidal,,Centre-Back
Nacho Vidal,,Right-Back
Gabriel Vidovic,,Second Striker
Fabio Vieira,,Attacking Midfield
Ronaldo Vieira,,Central Midfield
Emanuel Vignato,,Right Winger
Samuele Vignato,,Attacking Midfield
Tonny Vilhena,,Central Midfield
Toni Villa,,Left Winger
Asier Villalibre,,Centre-Forward
Gonzalo Villar,,Central Midfield
Iván Villar,,Goalkeeper
Matías Viña,,Left-Back
Rúben Vinagre,,Left-Back
Carlos Vinícius,,Centre-Forward
Alan Virginius,,Left Winger
Mattia Viti,,Centre-Back
Vitinha,,Central Midfield
Daniel Vivian,,Centre-Back
Dušan Vlahović,,Centre-Forward
Nikola Vlašić,,Attacking Midfield
Joel Voelkerling Persson,,Centre-Forward
Kevin Vogt,,Centre-Back
Mërgim Vojvoda,,Right-Back
Kevin Volland,,Second Striker
Cristian Volpato,,Attacking Midfield
Lukáš Vorlický,,Left Winger
Aster Vranckx,,Central Midfield
Stefan de Vrij,,Centre-Back
Robert Wagner,,Central Midfield
Elye Wahi,,"['Series([], Name: TmPos, dtype: object)']"
Walace,,Defensive Midfield
Theo Walcott,,Right Winger
Luca Waldschmidt,,Second Striker
Kyle Walker,,Right-Back
Kyle Walker-Peters,,Right-Back
Sebastian Walukiewicz,,Centre-Back
Aaron Wan-Bissaka,,Right-Back
Paul Wanner,,Attacking Midfield
Danny Ward,,Goalkeeper
Joel Ward,,Right-Back
James Ward-Prowse,,Central Midfield
Ollie Watkins,,Centre-Forward
Timothy Weah,,Centre-Forward
Adam Webster,,Centre-Back
Wout Weghorst,,Centre-Forward
Julian Weigl,,Defensive Midfield
Nelson Weiper,,Centre-Forward
Mitchell Weiser,,Right-Back
Noah Weißhaupt,,Left Winger
Shon Weissman,,Centre-Forward
Danny Welbeck,,Centre-Forward
Marcel Wenig,,Central Midfield
Axel Werner,,Goalkeeper
Timo Werner,,Centre-Forward
Ben White,,Right-Back
Harvey White,,Defensive Midfield
Joseph Whitworth,,Goalkeeper
Silvan Widmer,,Right-Back
Mateusz Wieteska,,Centre-Back
Georginio Wijnaldum,,Central Midfield
Iñaki Williams,,Centre-Forward
Neco Williams,,Right-Back
Nico Williams,,Right Winger
Willian,,Left Winger
Joe Willock,,Central Midfield
Callum Wilson,,Centre-Forward
Harry Wilson,,Right Winger
Patrick Wimmer,,Right Winger
Jonas Wind,,Centre-Forward
Harry Winks,,Defensive Midfield
Frederik Winther,,Centre-Back
Florian Wirtz,,Attacking Midfield
Przemysław Wiśniewski,,Centre-Back
Yoane Wissa,,Left Winger
Axel Witsel,,Defensive Midfield
Maximilian Wöber,,Centre-Back
Hannes Wolf,,Attacking Midfield
Marius Wolf,,Right Winger
Jeong Woo-yeong,,Second Striker
Chris Wood,,Centre-Forward
Christopher Wooh,,Centre-Back
Joe Worrall,,Centre-Back
Xeka,,Central Midfield
Granit Xhaka,,Defensive Midfield
Lamine Yamal,,Right Winger
Jawad El Yamiq,,Centre-Back
Ryan Yates,,Central Midfield
Yusuf Yazıcı,,Attacking Midfield
Kelvin Yeboah,,Centre-Forward
Gerard Yepes,,Defensive Midfield
Darlin Yongwa,,Left-Back
Leny Yoro,,Centre-Back
Maya Yoshida,,Centre-Back
Ashley Young,,Left-Back
Mohamed Youssouf,,Right-Back
Illia Zabarnyi,,Centre-Back
Mattia Zaccagni,,Attacking Midfield
Dan-Axel Zagadou,,Centre-Back
Wilfried Zaha,,Left Winger
Warren Zaire-Emery,,Defensive Midfield
Denis Zakaria,,Defensive Midfield
Rodrigo Zalazar,,Attacking Midfield
Joseba Zaldúa,,Right-Back
Nicola Zalewski,,Left Winger
Andre-Frank Zambo Anguissa,,Defensive Midfield
Oliver Zandén,,Left-Back
Luca Zanimacchia,,Right Winger
Nicolò Zaniolo,,Attacking Midfield
Alessandro Zanoli,,Right-Back
Mattia Zanotti,,Right-Back
Duván Zapata,,Centre-Forward
Davide Zappacosta,,Right-Back
Oier Zarraga,,Central Midfield
Akim Zedadka,,Right-Back
Karim Zedadka,,Left-Back
Deyovaisio Zeefuik,,Right-Back
Marvin Zeegelaar,,Left-Back
Mehdi Zeffane,,Right-Back
Aaron Zehnter,,Left-Back
Jordan Zemura,,Left-Back
Arber Zeneli,,Left Winger
Robin Zentner,,Goalkeeper
Alessio Zerbin,,Left Winger
Michael Zetterer,,Goalkeeper
Nathan Zeze,,Centre-Back
Edon Zhegrova,,Right Winger
Piotr Zieliński,,Attacking Midfield
David Zima,,Centre-Back
Oleksandr Zinchenko,,Left-Back
Joshua Zirkzee,,Centre-Forward
Hakim Ziyech,,Attacking Midfield
Jeroen Zoet,,Goalkeeper
Simon Zoller,,Centre-Forward
Nadir Zortea,,Right WingBack
Tanguy Zoukrou,,"['Series([], Name: TmPos, dtype: object)']"
Kurt Zouma,,Centre-Back
Petar Zovko,,Goalkeeper
Igor Zubeldia,,Centre-Back
Martín Zubimendi,,Defensive Midfield
Szymon Żurkowski,,Central Midfield
Martin Ødegaard,,Attacking Midfield
Milan Đurić,,Centre-Forward
Filip Đuričić,,Attacking Midfield
Blanco,,Defensive Midfield
Hugo Guillamón,,Defensive Midfield
